Animal_Type,Breed,Age_norm,Weight_norm,Duration_Days_norm,Body_Temperature_C_norm,Heart_Rate_norm,temp_deviation_norm,Appetite_Loss_bin,Vomiting_bin,Diarrhea_bin,Coughing_bin,Labored_Breathing_bin,Lameness_bin,Skin_Lesions_bin,Nasal_Discharge_bin,Eye_Discharge_bin,symptom_count,is_fever,high_heart_rate,Gender_bin,Breed_encoded,animal_Cat,animal_Cow,animal_Dog,animal_Goat,animal_Horse,animal_Pig,animal_Rabbit,animal_Sheep,Disease_Prediction,Disease_ID
Horse,Arabian,0.4,0.5289,0.25,0.7222,0.2105,0.7222,1,0,0,1,1,0,0,0,0,3,1,0,1,12,0,0,0,0,1,0,0,0,Equine Influenza,55
Dog,Poodle,0.0667,0.0082,0.1667,0.3889,0.5789,0.3889,1,0,0,1,0,0,0,1,0,3,0,1,0,10,0,0,1,0,0,0,0,0,Kennel Cough,100
Cat,Bengal,0.1333,0.0053,0.0833,0.5,0.7368,0.5,1,1,1,0,0,0,0,0,0,3,0,1,1,11,1,0,0,0,0,0,0,0,Panleukopenia,108
Cow,Angus,0.2667,0.8233,0.4167,0.7778,0.1053,0.7778,1,0,0,1,1,0,0,1,0,4,1,0,0,19,0,1,0,0,0,0,0,0,Bovine Respiratory Disease,18
Dog,Golden Retriever,0.2,0.0342,0.6667,0.6111,0.4211,0.6111,1,0,0,0,0,1,0,0,0,2,0,0,1,20,0,0,1,0,0,0,0,0,Arthritis,4
Cat,Russian Blue,0.0667,0.0041,0.25,0.2222,0.8421,0.2222,0,0,0,1,0,0,0,1,1,3,0,1,0,21,1,0,0,0,0,0,0,0,Feline Herpesvirus,73
Horse,Quarter Horse,0.5333,0.5642,0.3333,0.8333,0.1579,0.8333,1,0,0,1,1,0,0,0,0,3,1,0,0,22,0,0,0,0,1,0,0,0,Equine Rhinopneumonitis,65
Dog,Chihuahua,0.0,0.0024,0.0833,0.5556,0.6842,0.5556,1,1,1,0,0,0,0,0,0,3,0,1,1,14,0,0,1,0,0,0,0,0,Parvovirus,109
Cat,Ragdoll,0.3333,0.0059,1.0,0.3333,0.9474,0.3333,1,1,0,0,0,0,1,0,0,3,0,1,1,15,1,0,0,0,0,0,0,0,Feline Leukemia,76
Cow,Hereford,0.1333,0.7644,0.5,0.6667,0.0526,0.6667,1,0,0,1,0,0,0,0,0,2,1,0,0,13,0,1,0,0,0,0,0,0,Mastitis,105
Dog,German Shepherd,0.2667,0.0342,0.3333,0.6667,0.5789,0.6667,1,0,0,1,1,0,0,0,0,3,1,1,1,6,0,0,1,0,0,0,0,0,Heartworm Disease,95
Cat,Maine Coon,0.3333,0.0077,0.1667,0.2778,0.7895,0.2778,1,1,1,0,0,1,0,0,0,4,0,1,0,7,1,0,0,0,0,0,0,0,Feline Infectious Peritonitis,75
Horse,Thoroughbred,0.5333,0.5878,0.6667,0.8889,0.0842,0.8889,0,0,0,1,1,0,0,1,0,3,1,0,1,5,0,0,0,0,1,0,0,0,Equine Viral Arteritis,66
Cow,Holstein,0.2,0.682,0.4167,0.5556,0.1263,0.5556,1,0,1,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,Johne's Disease,99
Dog,Beagle,0.0667,0.0094,0.0833,0.4444,0.6526,0.4444,1,1,0,0,0,1,1,0,0,4,0,1,0,3,0,0,1,0,0,0,0,0,Canine Distemper,24
Cat,Persian,0.4667,0.0042,0.0,0.3333,0.7368,0.3333,0,1,0,0,0,0,1,0,1,3,0,1,1,4,1,0,0,0,0,0,0,0,Conjunctivitis,42
Horse,Appaloosa,0.3333,0.6113,0.25,0.7778,0.0632,0.7778,0,0,0,0,0,1,1,0,0,2,1,0,0,23,0,0,0,0,1,0,0,0,Equine Piroplasmosis,62
Cow,Jersey,0.1333,0.7291,0.5,0.7222,0.0947,0.7222,1,0,1,0,0,0,0,0,0,2,1,0,1,9,0,1,0,0,0,0,0,0,Salmonellosis,124
Dog,Dachshund,0.4,0.0053,1.0,0.6111,0.5263,0.6111,1,0,0,1,1,0,0,0,0,3,0,0,1,24,0,0,1,0,0,0,0,0,Chronic Bronchitis,40
Cat,Sphynx,0.2,0.0026,0.4167,0.5,0.8421,0.5,0,0,0,1,1,0,0,1,1,4,0,1,0,25,1,0,0,0,0,0,0,0,Feline Upper Respiratory Infection,84
Dog,Golden Retriever,0.2,0.0318,0.25,0.4444,0.6316,0.4444,1,0,1,1,0,1,0,0,0,4,0,1,0,20,0,0,1,0,0,0,0,0,Parvovirus,109
Cat,British Shorthair,0.1333,0.0053,0.1667,0.1667,0.7895,0.1667,1,0,0,1,1,0,0,0,1,4,0,1,1,18,1,0,0,0,0,0,0,0,Feline Upper Respiratory Infection,84
Horse,Arabian,0.6,0.5289,0.5,0.5556,0.0526,0.5556,0,0,0,1,1,0,0,0,0,2,0,0,0,12,0,0,0,0,1,0,0,0,Equine Arthritis,49
Cow,Angus,0.3333,0.7055,0.4167,0.8333,0.1263,0.8333,0,0,0,1,1,0,0,0,0,2,1,0,1,19,0,1,0,0,0,0,0,0,Bovine Respiratory Disease,18
Dog,Bulldog,0.2667,0.0247,0.0833,0.6667,0.7158,0.6667,1,1,0,0,1,1,0,0,0,4,1,1,1,8,0,0,1,0,0,0,0,0,Gastroenteritis,90
Cat,Siamese,0.0667,0.0035,0.0,0.3333,0.6842,0.3333,1,0,1,0,1,0,0,0,1,4,0,1,0,1,1,0,0,0,0,0,0,0,Feline Herpesvirus,73
Horse,Quarter Horse,0.7333,0.5878,0.25,0.7222,0.0842,0.7222,0,0,0,1,0,1,0,0,0,2,1,0,1,22,0,0,0,0,1,0,0,0,Equine Infectious Anemia,54
Cow,Hereford,0.1333,0.6702,0.3333,0.3889,0.1053,0.3889,1,0,0,0,0,1,0,0,0,2,0,0,0,13,0,1,0,0,0,0,0,0,Bovine Viral Diarrhea,22
Dog,Poodle,0.4667,0.0165,0.4167,0.5,0.5895,0.5,1,0,1,0,1,0,0,0,1,4,0,1,1,10,0,0,1,0,0,0,0,0,Kennel Cough,100
Cat,Abyssinian,0.2667,0.0041,0.0833,0.0556,0.7579,0.0556,0,1,0,1,0,1,0,1,0,4,0,1,0,26,1,0,0,0,0,0,0,0,Pancreatitis,107
Horse,Clydesdale,0.9333,0.7055,0.6667,0.7778,0.0,0.7778,0,0,1,1,0,0,1,1,0,4,1,0,1,17,0,0,0,0,1,0,0,0,Equine Pneumonia,63
Cow,Brahman,0.4,0.7291,0.25,0.6667,0.1158,0.6667,1,0,1,1,0,1,0,0,0,4,1,0,0,27,0,1,0,0,0,0,0,0,Mastitis,105
Dog,Husky,0.5333,0.0283,0.1667,0.3889,0.5684,0.3889,1,1,0,1,1,0,0,0,0,4,0,1,1,28,0,0,1,0,0,0,0,0,Canine Parvovirus,31
Cat,Ragdoll,0.2,0.0047,0.3333,0.1111,0.8211,0.1111,1,0,0,1,0,1,1,0,0,4,0,1,0,15,1,0,0,0,0,0,0,0,Feline Calicivirus,69
Horse,Morgan,0.6667,0.6113,0.4167,0.7222,0.0737,0.7222,0,0,1,1,0,1,0,1,0,4,1,0,0,29,0,0,0,0,1,0,0,0,Laminitis,101
Cow,Limousin,0.0667,0.6466,0.1667,0.6111,0.1579,0.6111,1,0,0,1,1,0,1,0,0,4,0,0,1,30,0,1,0,0,0,0,0,0,Cryptosporidiosis,45
Dog,Border Collie,0.1333,0.0188,0.5,0.5556,0.6211,0.5556,1,0,0,1,0,1,0,1,1,5,0,1,0,31,0,0,1,0,0,0,0,0,Bordetella Infection,10
Cat,Devon Rex,0.3333,0.0038,0.5833,0.2778,0.8,0.2778,1,0,1,0,1,0,1,0,0,4,0,1,1,32,1,0,0,0,0,0,0,0,Inflammatory Bowel Disease,97
Horse,Standardbred,0.4,0.6349,0.3333,0.6667,0.0632,0.6667,0,0,0,1,0,1,1,0,0,3,1,0,1,33,0,0,0,0,1,0,0,0,Degenerative Joint Disease,46
Cow,Red Angus,0.2667,0.7291,0.1667,0.7778,0.1368,0.7778,1,0,1,0,1,0,1,1,0,5,1,0,0,34,0,1,0,0,0,0,0,0,Bovine Leukemia Virus,14
Dog,Chihuahua,0.1333,0.0018,0.25,0.6111,0.6421,0.6111,1,0,0,1,0,0,1,0,1,4,0,1,1,14,0,0,1,0,0,0,0,0,Allergic Rhinitis,3
Cat,Sphynx,0.2667,0.0024,0.3333,0.1667,0.7684,0.1667,1,1,0,0,1,0,1,0,0,4,0,1,0,25,1,0,0,0,0,0,0,0,Gastroenteritis,90
Horse,Shire,0.6,0.7998,0.6667,0.8333,0.0421,0.8333,0,0,1,1,0,1,0,0,0,3,1,0,0,35,0,0,0,0,1,0,0,0,Equine Leptospirosis,58
Cow,Guernsey,0.2,0.6938,0.25,0.5,0.1474,0.5,1,0,0,1,0,0,1,0,0,3,0,0,1,36,0,1,0,0,0,0,0,0,Bovine Coccidiosis,11
Dog,Dachshund,0.4,0.0082,0.0833,0.4444,0.5263,0.4444,1,1,0,1,1,0,0,1,1,6,0,0,0,24,0,0,1,0,0,0,0,0,Gastroenteritis,90
Cat,Maine Coon,0.5333,0.0065,0.5,0.3333,0.7368,0.3333,1,1,1,0,0,0,1,1,0,5,0,1,1,7,1,0,0,0,0,0,0,0,Feline Renal Disease,80
Horse,Thoroughbred,0.8667,0.6113,0.8333,0.7222,0.0211,0.7222,0,1,1,0,1,0,0,1,0,4,1,0,1,5,0,0,0,0,1,0,0,0,Equine Influenza,55
Cow,Jersey,0.3333,0.7055,0.25,0.5556,0.1684,0.5556,1,0,0,1,0,1,0,0,0,3,0,0,0,9,0,1,0,0,0,0,0,0,Bovine Respiratory Syncytial Virus,20
Dog,Labrador Retriever,0.6667,0.04,0.4167,0.5,0.5053,0.5,1,0,0,1,0,1,0,1,0,4,0,0,1,37,0,0,1,0,0,0,0,0,Canine Distemper,24
Cat,Persian,0.4667,0.0047,0.1667,0.2778,0.8105,0.2778,1,0,1,0,1,0,1,0,0,4,0,1,0,4,1,0,0,0,0,0,0,0,Feline Viral Rhinotracheitis,85
Dog,German Shepherd,0.3333,0.0342,0.3333,0.5556,0.5789,0.5556,1,0,1,0,1,0,0,0,1,4,0,1,0,6,0,0,1,0,0,0,0,0,Kennel Cough,100
Cat,Scottish Fold,0.2,0.0045,0.25,0.1667,0.7053,0.1667,1,0,0,1,1,0,1,0,1,5,0,1,1,38,1,0,0,0,0,0,0,0,Feline Herpesvirus,73
Horse,Appaloosa,0.6,0.5995,0.5833,0.7778,0.0421,0.7778,0,0,1,1,0,1,0,0,0,3,1,0,0,23,0,0,0,0,1,0,0,0,Equine Laminitis,57
Cow,Holstein,0.4,0.6938,0.1667,0.8333,0.1053,0.8333,0,0,0,1,1,0,1,0,0,3,1,0,1,2,0,1,0,0,0,0,0,0,Bovine Pneumonia,17
Dog,Beagle,0.2667,0.0106,0.0833,0.4444,0.6526,0.4444,1,1,0,0,0,1,0,1,0,4,0,1,1,3,0,0,1,0,0,0,0,0,Gastroenteritis,90
Cat,Bengal,0.1333,0.0038,0.3333,0.3889,0.7895,0.3889,1,0,1,1,0,1,0,0,0,4,0,1,0,11,1,0,0,0,0,0,0,0,Feline Panleukopenia,78
Horse,Arabian,0.8,0.576,0.5,0.6667,0.0842,0.6667,0,0,0,1,1,0,0,1,0,3,1,0,1,12,0,0,0,0,1,0,0,0,Equine Influenza,55
Cow,Simmental,0.4667,0.7409,0.4167,0.6111,0.1368,0.6111,0,1,0,0,1,1,1,0,0,4,0,0,0,39,0,1,0,0,0,0,0,0,Johne's Disease,99
Dog,Rottweiler,0.4,0.04,0.0833,0.3333,0.6,0.3333,1,0,1,0,1,0,0,0,1,4,0,1,0,40,0,0,1,0,0,0,0,0,Parvovirus,109
Cat,Siberian,0.0667,0.0053,0.1667,0.1111,0.7789,0.1111,1,0,1,0,0,1,0,1,0,4,0,1,1,41,1,0,0,0,0,0,0,0,Feline Calicivirus,69
Horse,American Quarter,0.8667,0.6113,0.6667,0.7222,0.0526,0.7222,0,0,1,1,1,0,0,0,0,3,1,0,0,42,0,0,0,0,1,0,0,0,Equine Arthritis,49
Cow,Shorthorn,0.2667,0.7055,0.25,0.5556,0.1474,0.5556,1,0,0,1,0,1,0,0,1,4,0,0,1,43,0,1,0,0,0,0,0,0,Salmonellosis,124
Dog,Shih Tzu,0.2,0.0071,0.3333,0.5,0.6632,0.5,1,0,1,0,1,1,0,0,0,4,0,1,0,44,0,0,1,0,0,0,0,0,Canine Flu,25
Cat,American Curl,0.2667,0.0032,0.0833,0.2222,0.8211,0.2222,1,1,0,0,1,1,0,0,0,4,0,1,1,45,1,0,0,0,0,0,0,0,Pancreatitis,107
Horse,Percheron,0.7333,0.7055,0.25,0.8333,0.0211,0.8333,0,0,0,1,1,0,0,1,0,3,1,0,1,46,0,0,0,0,1,0,0,0,Equine Infectious Anemia,54
Cow,Brahman,0.1333,0.6702,0.1667,0.7778,0.1684,0.7778,1,0,0,1,0,1,0,0,1,4,1,0,0,27,0,1,0,0,0,0,0,0,Respiratory Syncytial Virus,122
Dog,Chihuahua,0.5333,0.0012,0.0,0.3889,0.6105,0.3889,1,1,0,0,0,1,0,0,1,4,0,1,1,14,0,0,1,0,0,0,0,0,Gastroenteritis,90
Cat,Manx,0.2,0.0027,0.3333,0.0556,0.7158,0.0556,1,0,0,1,0,1,1,0,0,4,0,1,0,47,1,0,0,0,0,0,0,0,Feline Herpesvirus,73
Horse,Tennessee Walker,1.0,0.6231,0.5,0.6667,0.0105,0.6667,0,0,1,1,0,1,1,0,0,4,1,0,0,48,0,0,0,0,1,0,0,0,Equine Cushing's Disease,50
Cow,Jersey,0.3333,0.7291,0.4167,0.5556,0.1789,0.5556,1,0,1,0,1,1,0,0,0,4,0,0,1,9,0,1,0,0,0,0,0,0,Tuberculosis,135
Dog,Dalmatian,0.4667,0.0224,0.1667,0.3333,0.5263,0.3333,1,0,1,0,1,0,0,1,0,4,0,0,0,49,0,0,1,0,0,0,0,0,Pancreatitis,107
Cat,Bombay,0.3333,0.0035,0.25,0.2778,0.8316,0.2778,1,0,0,1,1,0,1,0,0,4,0,1,1,50,1,0,0,0,0,0,0,0,Hyperthyroidism,96
Horse,Welsh Pony,0.6,0.5289,0.5833,0.7778,0.0632,0.7778,0,0,1,1,1,0,0,1,0,4,1,0,1,51,0,0,0,0,1,0,0,0,Equine Arthritis,49
Cow,Brown Swiss,0.1333,0.682,0.25,0.5,0.1579,0.5,1,1,0,0,0,1,0,0,1,4,0,0,0,52,0,1,0,0,0,0,0,0,Coccidiosis,41
Dog,Akita,0.3333,0.04,0.3333,0.6111,0.6316,0.6111,1,0,1,0,1,1,0,0,1,5,0,1,1,53,0,0,1,0,0,0,0,0,Canine Hepatitis,27
Cat,British Shorthair,0.4,0.004,0.1667,0.1111,0.7579,0.1111,1,0,0,1,0,1,1,0,0,4,0,1,0,18,1,0,0,0,0,0,0,0,Upper Respiratory Infection,136
Horse,Morgan,0.6667,0.6231,0.5,0.7222,0.0421,0.7222,0,1,1,0,1,0,0,1,0,4,1,0,0,29,0,0,0,0,1,0,0,0,Equine Encephalitis,51
Cow,Guernsey,0.2667,0.7173,0.0833,0.8333,0.1263,0.8333,1,0,1,0,0,1,0,0,1,4,1,0,1,36,0,1,0,0,0,0,0,0,Bovine Influenza,12
Dog,Boxer,0.4667,0.0306,0.1667,0.4444,0.6421,0.4444,1,1,0,0,1,0,0,1,0,4,0,1,0,54,0,0,1,0,0,0,0,0,Gastroenteritis,90
Cat,Abyssinian,0.2,0.0041,0.25,0.2222,0.7368,0.2222,1,0,0,1,1,0,0,1,0,4,0,1,1,26,1,0,0,0,0,0,0,0,Feline Calicivirus,69
Dog,Golden Retriever,0.2667,0.0365,0.0833,0.4444,0.6316,0.4444,1,0,1,0,1,0,0,0,1,4,0,1,1,20,0,0,1,0,0,0,0,0,Gastroenteritis,90
Cat,Persian,0.4,0.0037,0.1667,0.2778,0.7579,0.2778,1,0,0,1,1,0,1,0,1,5,0,1,0,4,1,0,0,0,0,0,0,0,Feline Upper Respiratory Infection,84
Horse,Thoroughbred,0.9333,0.5642,0.4167,0.7222,0.0526,0.7222,0,1,0,0,1,1,0,1,0,4,1,0,1,5,0,0,0,0,1,0,0,0,Equine Arthritis,49
Cow,Limousin,0.3333,0.7291,0.6667,0.5556,0.1579,0.5556,1,1,0,1,0,1,0,0,1,5,0,0,0,30,0,1,0,0,0,0,0,0,Johne's Disease,99
Rabbit,Holland Lop,0.1333,0.0009,0.25,0.1111,0.9474,0.1111,0,1,0,1,1,0,0,1,0,4,0,1,0,55,0,0,0,0,0,0,1,0,Snuffles,127
Sheep,Merino,0.2,0.0872,0.1667,0.8889,0.0842,0.8889,1,0,0,1,0,1,1,0,0,4,1,0,1,56,0,0,0,0,0,0,0,1,Pneumonia,111
Goat,Boer,0.2667,0.0789,0.3333,0.5,0.1263,0.5,1,0,1,0,0,1,0,0,1,4,0,0,0,57,0,0,0,1,0,0,0,0,Coccidiosis,41
Pig,Yorkshire,0.0667,0.1284,0.0833,0.6111,0.1579,0.6111,0,1,0,1,1,0,0,1,1,5,0,0,1,58,0,0,0,0,0,1,0,0,Porcine Epidemic Diarrhea,113
Dog,Dachshund,0.2,0.0094,0.0833,0.3333,0.6526,0.3333,1,0,1,0,1,1,0,0,0,4,0,1,0,24,0,0,1,0,0,0,0,0,Parvovirus,109
Cat,Siamese,0.3333,0.0038,0.1667,0.1667,0.7368,0.1667,1,0,0,1,0,1,1,0,1,5,0,1,1,1,1,0,0,0,0,0,0,0,Feline Calicivirus,69
Horse,Clydesdale,0.7333,0.7055,0.3333,0.6667,0.0737,0.6667,0,0,1,0,1,1,0,1,0,4,1,0,0,17,0,0,0,0,1,0,0,0,Equine Laminitis,57
Cow,Angus,0.4667,0.682,0.25,0.8889,0.1368,0.8889,1,0,0,1,0,1,0,0,1,4,1,0,1,19,0,1,0,0,0,0,0,0,Bovine Respiratory Disease,18
Rabbit,Mini Rex,0.0667,0.0007,0.0833,0.0556,0.8947,0.0556,0,1,0,1,0,1,0,0,1,4,0,1,1,59,0,0,0,0,0,0,1,0,Enteritis,48
Sheep,Suffolk,0.1333,0.0931,0.5,0.7778,0.0737,0.7778,1,0,1,0,0,1,0,1,0,4,1,0,0,60,0,0,0,0,0,0,0,1,Scrapie,125
Goat,Alpine,0.2,0.0836,0.4167,0.7222,0.1368,0.7222,0,1,0,0,1,1,0,0,1,4,1,0,1,61,0,0,0,1,0,0,0,0,Caprine Arthritis Encephalitis,33
Pig,Duroc,0.1333,0.1343,0.25,0.8889,0.1053,0.8889,1,0,1,0,0,1,1,0,0,4,1,0,0,62,0,0,0,0,0,1,0,0,Swine Influenza,133
Dog,Corgi,0.2667,0.0118,0.0833,0.4444,0.6737,0.4444,1,0,1,0,0,1,0,1,0,4,0,1,1,63,0,0,1,0,0,0,0,0,Pancreatitis,107
Cat,Burmese,0.4667,0.0041,0.3333,0.1111,0.7263,0.1111,1,0,1,1,0,1,0,0,1,5,0,1,0,64,1,0,0,0,0,0,0,0,Feline Viral Rhinotracheitis,85
Horse,Paint,0.8667,0.5878,0.6667,0.6111,0.0632,0.6111,0,1,0,1,1,0,0,1,0,4,0,0,1,65,0,0,0,0,1,0,0,0,Equine Osteoarthritis,61
Cow,Hereford,0.4,0.6938,0.3333,0.5,0.1474,0.5,1,1,0,0,1,0,0,1,0,4,0,0,0,13,0,1,0,0,0,0,0,0,Bovine Johne's Disease,13
Rabbit,Flemish Giant,0.2667,0.0068,0.25,0.3333,0.8421,0.3333,1,0,1,0,1,1,0,0,1,5,0,1,0,66,0,0,0,0,0,0,1,0,Gastrointestinal Stasis,92
Sheep,Dorper,0.3333,0.0754,0.1667,0.8333,0.1053,0.8333,0,0,1,1,0,1,1,0,1,5,1,0,1,67,0,0,0,0,0,0,0,1,Pasteurellosis,110
Goat,Nubian,0.1333,0.0813,0.25,0.5556,0.1158,0.5556,1,1,0,0,0,1,0,1,1,5,0,0,0,68,0,0,0,1,0,0,0,0,Giardiasis,93
Dog,Poodle,0.4,0.0165,0.1667,0.3889,0.5789,0.3889,1,0,1,0,0,1,0,1,0,4,0,1,0,10,0,0,1,0,0,0,0,0,Canine Parvovirus,31
Cat,Maine Coon,0.2667,0.0049,0.0833,0.2222,0.7368,0.2222,1,1,0,1,0,0,0,1,0,4,0,1,1,7,1,0,0,0,0,0,0,0,Feline Respiratory Disease Complex,81
Horse,Arabian,0.5333,0.5406,0.3333,0.6667,0.0842,0.6667,0,1,0,0,1,1,0,1,1,5,1,0,0,12,0,0,0,0,1,0,0,0,Equine Lyme Disease,59
Cow,Jersey,0.3333,0.6702,0.25,0.5556,0.1158,0.5556,1,0,1,0,1,0,0,1,1,5,0,0,1,9,0,1,0,0,0,0,0,0,Bovine Tuberculosis,21
Rabbit,English Angora,0.2,0.0013,0.0833,0.1111,0.8421,0.1111,1,0,0,1,1,0,1,0,1,5,0,1,0,69,0,0,0,0,0,0,1,0,Rabbit Viral Hemorrhagic Disease,120
Sheep,Cheviot,0.2667,0.0989,0.4167,0.4444,0.0947,0.4444,1,1,0,0,1,0,0,0,1,4,0,0,1,70,0,0,0,0,0,0,0,1,Foot-and-Mouth Disease,87
Goat,Toggenburg,0.4,0.0754,0.25,0.5,0.1053,0.5,1,1,0,1,0,1,0,1,0,5,0,0,0,71,0,0,0,1,0,0,0,0,Coccidiosis,41
Pig,Berkshire,0.0667,0.1343,0.1667,0.7778,0.1579,0.7778,1,0,0,1,1,0,1,0,1,5,1,0,1,72,0,0,0,0,0,1,0,0,Actinobacillus Pleuropneumonia,0
Dog,Shih Tzu,0.4667,0.0082,0.25,0.3333,0.6316,0.3333,1,0,1,1,0,0,0,0,1,4,0,1,0,44,0,0,1,0,0,0,0,0,Canine Hepatitis,27
Cat,Scottish Fold,0.2,0.0039,0.0833,0.1667,0.7684,0.1667,1,0,1,0,0,1,0,1,1,5,0,1,1,38,1,0,0,0,0,0,0,0,Feline Rhinotracheitis,83
Horse,Belgian,0.8,0.7644,0.5,0.6111,0.0421,0.6111,0,1,0,1,1,0,0,0,1,4,0,0,0,73,0,0,0,0,1,0,0,0,Equine Infectious Anemia,54
Cow,Brown Swiss,0.5333,0.7055,0.3333,0.6667,0.1053,0.6667,1,0,1,1,0,1,0,0,1,5,1,0,1,52,0,1,0,0,0,0,0,0,Bovine Respiratory Disease,18
Rabbit,Himalayan,0.1333,0.0011,0.0,0.0,0.9474,0.0,0,1,0,1,1,1,1,1,0,6,0,1,1,74,0,0,0,0,0,0,1,0,Respiratory Infection,121
Sheep,Romney,0.3333,0.0907,0.5833,0.7222,0.0632,0.7222,1,1,0,1,0,0,1,1,0,5,1,0,0,75,0,0,0,0,0,0,0,1,Scrapie,125
Goat,Kiko,0.1333,0.0872,0.3333,0.4444,0.1263,0.4444,0,1,1,0,1,1,0,1,1,6,0,0,1,76,0,0,0,1,0,0,0,0,Caprine Respiratory Disease,36
Pig,Tamworth,0.2,0.1402,0.25,0.6667,0.1474,0.6667,1,1,0,1,1,0,1,0,0,5,1,0,0,77,0,0,0,0,0,1,0,0,Swine Dysentery,129
Dog,Beagle,0.3333,0.0141,0.1667,0.5556,0.6,0.5556,1,0,0,1,1,1,0,1,0,5,0,1,1,3,0,0,1,0,0,0,0,0,Kennel Cough,100
